Date,High,Low
2018-06-12,2.97,2.44
2018-06-19,2.74,1.93
2018-06-26,2.52,2.27
2018-07-03,2.53,1.89
2018-07-10,2.78,2.11
2018-07-17,2.48,2.16
2018-07-24,2.52,2.05
2018-07-31,2.66,1.97
2018-08-07,2.94,2.37
2018-08-14,2.94,2.17
2018-08-21,2.86,2.37
2018-08-28,3.02,2.25
2018-09-04,3.16,2.49
2018-09-11,2.97,2.27
2018-09-18,2.79,2.28
2018-09-25,2.8,2.13
2018-10-02,2.9,2.12
2018-10-09,2.69,2.16
2018-10-16,2.73,1.84
2018-10-23,3.03,2.38
2018-10-30,2.42,1.9
2018-11-06,2.49,1.92
2018-11-13,2.96,2.28
2018-11-20,2.43,1.88
2018-11-27,3.07,2.45
2018-12-04,2.75,2.09
2018-12-11,2.97,2.26
2018-12-18,2.6,2.21
2018-12-25,2.75,2.04
2019-01-01,2.95,2.07
2019-01-08,2.94,2.22
2019-01-15,2.56,2.15
2019-01-22,2.59,2.1
2019-01-29,2.95,2.42
2019-02-05,3.0,2.26
2019-02-12,2.58,1.95
2019-02-19,3.03,2.25
2019-02-26,3.04,2.25
2019-03-05,2.74,2.23
2019-03-12,2.75,1.91
2019-03-19,2.73,2.21
2019-03-26,2.69,2.08
2019-04-02,3.07,2.42
2019-04-09,2.91,2.44
2019-04-16,2.91,2.38
2019-04-23,2.69,2.28
2019-04-30,2.62,1.89
2019-05-07,2.68,1.8
2019-05-14,2.88,2.27
2019-05-21,2.94,2.56
2019-05-28,2.87,2.59
2019-06-04,2.73,2.14
2019-06-11,2.95,2.53
2019-06-18,3.03,2.39
2019-06-25,3.04,2.47
2019-07-02,2.96,2.5
2019-07-09,2.77,2.11
2019-07-16,3.03,2.29
2019-07-23,2.58,1.89
2019-07-30,3.18,2.56
2019-08-06,2.71,2.0
2019-08-13,3.15,2.32
2019-08-20,2.64,2.26
2019-08-27,2.76,2.32
2019-09-03,2.66,2.3
2019-09-10,2.71,2.29
2019-09-17,3.04,2.07
2019-09-24,2.87,2.38
2019-10-01,2.67,2.17
2019-10-08,3.02,2.44
2019-10-15,2.89,2.0
2019-10-22,2.79,2.13
2019-10-29,2.44,1.8
2019-11-05,2.53,2.13
2019-11-12,2.92,2.49
2019-11-19,2.76,2.19
2019-11-26,2.71,2.32
2019-12-03,2.73,2.05
2019-12-10,2.86,2.27
2019-12-17,2.54,2.13
2019-12-24,2.73,1.89
2019-12-31,2.87,2.03
2020-01-07,2.85,2.24
2020-01-14,2.79,2.42
2020-01-21,2.89,2.28
2020-01-28,2.64,2.15
2020-02-04,2.88,2.09
2020-02-11,2.67,1.93
2020-02-18,2.85,1.91
2020-02-25,2.61,2.16
2020-03-03,2.78,2.14
2020-03-10,2.8,2.2
2020-03-17,2.63,2.09
2020-03-24,2.98,2.48
2020-03-31,2.6,1.99
2020-04-07,2.91,2.16
2020-04-14,3.16,2.49
2020-04-21,2.62,2.39
2020-04-28,3.04,2.43
2020-05-05,2.96,2.11
2020-05-12,2.61,2.09
2020-05-19,2.62,1.98
2020-05-26,2.75,2.29
2020-06-02,2.75,2.14
2020-06-09,3.01,2.27
2020-06-16,2.85,2.48
2020-06-23,2.65,2.34
2020-06-30,2.59,2.02
2020-07-07,2.98,2.44
2020-07-14,3.14,2.36
2020-07-21,2.9,1.98
2020-07-28,2.8,2.28
2020-08-04,2.7,2.02
2020-08-11,2.5,1.93
2020-08-18,2.66,2.08
2020-08-25,2.47,2.03
2020-09-01,2.82,2.41
2020-09-08,2.77,1.85
2020-09-15,2.85,2.4
2020-09-22,3.04,2.27
2020-09-29,2.77,1.95
2020-10-06,2.72,2.22
2020-10-13,2.55,1.98
2020-10-20,2.99,2.31
2020-10-27,2.84,2.07
2020-11-03,2.94,2.37
2020-11-10,2.97,2.23
2020-11-17,2.81,2.36
2020-11-24,3.19,2.64
2020-12-01,2.89,2.21
2020-12-08,2.86,2.35
2020-12-15,2.4,2.1
2020-12-22,2.69,2.19
2020-12-29,2.99,2.19
2021-01-05,2.99,2.23
2021-01-12,2.58,2.04
2021-01-19,3.24,2.48
2021-01-26,2.89,2.48
2021-02-02,2.86,2.29
2021-02-09,3.08,2.23
2021-02-16,2.54,2.07
2021-02-23,2.8,2.37
2021-03-02,2.95,2.34
2021-03-09,2.76,1.99
2021-03-16,2.74,2.26
2021-03-23,2.81,2.23
2021-03-30,2.93,2.33
2021-04-06,2.87,2.16
2021-04-13,2.83,2.0
